timestamp,cmd_torque,cmd_torque_clamped,target_position,position,velocity,estimated_torque,valid
26.325004,-1.436724,-1.436724,0.000000,-3.910620,1.842341,0.035279,1
26.326008,-1.521050,-1.521050,0.000000,-3.908702,1.925596,-0.131260,1
26.327010,-1.580878,-1.580878,0.000000,-3.907168,1.665090,-0.079897,1
26.328009,-1.614687,-1.614687,0.000000,-3.905251,1.747002,-0.169134,1
26.329015,-1.621742,-1.621742,0.000000,-3.903717,1.592578,-0.168615,1
26.330008,-1.602219,-1.602219,0.000000,-3.902183,1.516037,-0.285867,1
26.331007,-1.556982,-1.556982,0.000000,-3.901032,1.278359,-0.331004,1
26.332007,-1.487901,-1.487901,0.000000,-3.899882,1.119907,-0.371471,1
26.333008,-1.397475,-1.397475,0.000000,-3.898731,1.027253,-0.373028,1
26.334008,-1.289504,-1.289504,0.000000,-3.898348,0.805689,-0.406751,1
26.335007,-1.167942,-1.167942,0.000000,-3.897581,0.563982,-0.394818,1
26.336003,-1.037582,-1.037582,0.000000,-3.897197,0.362560,-0.374065,1
26.337003,-0.902185,-0.902185,0.000000,-3.897197,0.161138,-0.348643,1
26.338004,-0.767093,-0.767093,0.000000,-3.896814,0.034913,-0.246956,1
26.339020,-0.634946,-0.634946,0.000000,-3.897197,-0.038942,-0.180029,1
26.340011,-0.515593,-0.515593,0.000000,-3.897581,-0.216193,-0.171728,1
26.341008,-0.408878,-0.408878,0.000000,-3.897581,-0.295419,-0.160833,1
26.342006,-0.318871,-0.318871,0.000000,-3.897964,-0.302133,-0.108951,1
26.343005,-0.248337,-0.248337,0.000000,-3.898731,-0.461928,-0.053438,1
26.344005,-0.199100,-0.199100,0.000000,-3.899115,-0.447157,-0.086123,1
26.345004,-0.172308,-0.172308,0.000000,-3.899498,-0.554582,-0.064852,1
26.346004,-0.168059,-0.168059,0.000000,-3.900265,-0.593524,-0.035279,1
26.347008,-0.185751,-0.185751,0.000000,-3.900649,-0.508927,-0.009857,1
26.348007,-0.223625,-0.223625,0.000000,-3.901416,-0.447157,0.003632,1
26.349012,-0.279775,-0.279775,0.000000,-3.901799,-0.635151,-0.095981,1
26.350009,-0.350568,-0.350568,0.000000,-3.902183,-0.585467,-0.104282,1
26.351008,-0.433186,-0.433186,0.000000,-3.902950,-0.633808,-0.205451,1
26.352008,-0.524006,-0.524006,0.000000,-3.903717,-0.525040,-0.186773,1
26.353020,-0.620236,-0.620236,0.000000,-3.904100,-0.605609,-0.312845,1
26.354024,-0.716356,-0.716356,0.000000,-3.904867,-0.502213,-0.253700,1
26.355012,-0.807969,-0.807969,0.000000,-3.905634,-0.722434,-0.313883,1
26.356008,-0.894239,-0.894239,0.000000,-3.906018,-0.623066,-0.336711,1
26.357006,-0.972129,-0.972129,0.000000,-3.906785,-0.747948,-0.349162,1
26.358005,-1.039395,-1.039395,0.000000,-3.907935,-0.961455,-0.380291,1
26.359005,-1.094847,-1.094847,0.000000,-3.908702,-0.921171,-0.409864,1
26.360004,-1.137808,-1.137808,0.000000,-3.909853,-1.125278,-0.426466,1
26.361004,-1.168673,-1.168673,0.000000,-3.911003,-1.028596,-0.420759,1
26.362004,-1.188394,-1.188394,0.000000,-3.912154,-1.242103,-0.425428,1
26.363004,-1.198746,-1.198746,0.000000,-3.913304,-1.302530,-0.432173,1
26.364012,-1.202071,-1.202071,0.000000,-3.914455,-1.272988,-0.411939,1
26.365009,-1.201199,-1.201199,0.000000,-3.915989,-1.328043,-0.455519,1
26.366026,-1.199348,-1.199348,0.000000,-3.917523,-1.494552,-0.475753,1
26.367019,-1.199994,-1.199994,0.000000,-3.919057,-1.567064,-0.466414,1
26.368017,-1.206485,-1.206485,0.000000,-3.920591,-1.738945,-0.469527,1
26.369019,-1.222154,-1.222154,0.000000,-3.922125,-1.413984,-0.472640,1
26.370013,-1.249628,-1.249628,0.000000,-3.923659,-1.742973,-0.472640,1
26.371007,-1.291436,-1.291436,0.000000,-3.925577,-1.777886,-0.489761,1
26.372006,-1.349748,-1.349748,0.000000,-3.927494,-1.677175,-0.486648,1
26.373004,-1.425444,-1.425444,0.000000,-3.929028,-1.968566,-0.586779,1
26.374004,-1.519097,-1.519097,0.000000,-3.930946,-1.831599,-0.616352,1
26.375004,-1.629972,-1.629972,0.000000,-3.932863,-2.011536,-0.569658,1
26.376004,-1.756920,-1.756920,0.000000,-3.935164,-2.184759,-0.462783,1
26.377004,-1.897812,-1.897812,0.000000,-3.936698,-1.921567,-0.470565,1
26.378004,-2.049468,-2.049468,0.000000,-3.938999,-2.241157,-0.471603,1
26.379004,-2.208694,-2.208694,0.000000,-3.941684,-2.348582,-0.470046,1
26.380004,-2.371135,-2.371135,0.000000,-3.943601,-2.327097,-0.447737,1
26.381004,-2.532678,-2.532678,0.000000,-3.946286,-2.296213,-0.461226,1
26.382004,-2.688334,-2.688334,0.000000,-3.948587,-2.414380,-0.508438,1
26.383008,-2.834333,-2.834333,0.000000,-3.951655,-2.649373,-0.546312,1
26.384011,-2.965316,-2.965316,0.000000,-3.954340,-2.814539,-0.553056,1
26.385008,-3.076717,-3.076717,0.000000,-3.957024,-2.943449,-0.561357,1
26.386008,-3.165964,-3.165964,0.000000,-3.960092,-3.148900,-0.670827,1
26.387008,-3.229785,-3.229785,0.000000,-3.963544,-3.362407,-0.702475,1
26.388008,-3.266110,-3.266110,0.000000,-3.966995,-3.375835,-0.741905,1
26.389009,-3.273619,-3.273619,0.000000,-3.970447,-3.632313,-0.824396,1
26.390005,-3.252080,-3.252080,0.000000,-3.974282,-3.767937,-0.869533,1
26.391004,-3.202025,-3.202025,0.000000,-3.978117,-4.027100,-0.885098,1
26.392003,-3.124837,-3.124837,0.000000,-3.981952,-4.063356,-0.959288,1
26.393004,-3.022817,-3.022817,0.000000,-3.986554,-4.295663,-0.928678,1
26.394003,-2.899214,-2.899214,0.000000,-3.991156,-4.552141,-0.939573,1
26.395003,-2.757650,-2.757650,0.000000,-3.995375,-4.595111,-0.855525,1
26.396003,-2.602282,-2.602282,0.000000,-3.999977,-4.734764,-0.762139,1
26.397004,-2.437388,-2.437388,0.000000,-4.005346,-4.944243,-0.643330,1
26.398004,-2.268238,-2.268238,0.000000,-4.009948,-5.000641,-0.658895,1
26.399004,-2.098923,-2.098923,0.000000,-4.015317,-5.343059,-0.563433,1
26.400004,-1.933985,-1.933985,0.000000,-4.020686,-5.470626,-0.651112,1
26.401011,-1.776204,-1.776204,0.000000,-4.026055,-5.382000,-0.519852,1
26.402013,-1.631038,-1.631038,0.000000,-4.031808,-5.721732,-0.652150,1
26.403012,-1.500680,-1.500680,0.000000,-4.037561,-5.555223,-0.650594,1
26.404017,-1.386118,-1.386118,0.000000,-4.043697,-5.907041,-0.566027,1
26.405013,-1.290016,-1.290016,0.000000,-4.049449,-5.787530,-0.660970,1
26.406025,-1.210475,-1.210475,0.000000,-4.055202,-5.763359,-0.561357,1
26.407024,-1.149300,-1.149300,0.000000,-4.061338,-5.982238,-0.400525,1
26.408016,-1.104360,-1.104360,0.000000,-4.067474,-6.092349,-0.365764,1
26.409025,-1.072688,-1.072688,0.000000,-4.073610,-6.103092,-0.342418,1
26.410009,-1.052946,-1.052946,0.000000,-4.079746,-6.154118,-0.374584,1
26.411005,-1.041179,-1.041179,0.000000,-4.085883,-6.473708,-0.421796,1
26.412004,-1.034400,-1.034400,0.000000,-4.092402,-6.272286,-0.458632,1
26.413004,-1.029251,-1.029251,0.000000,-4.098922,-6.538163,-0.492355,1
26.414004,-1.022377,-1.022377,0.000000,-4.105058,-6.441481,-0.537492,1
26.415004,-1.010654,-1.010654,0.000000,-4.111577,-6.444166,-0.467971,1
26.416003,-0.991330,-0.991330,0.000000,-4.118097,-6.633503,-0.345531,1
26.417004,-0.962145,-0.962145,0.000000,-4.125000,-6.601276,-0.272378,1
26.418004,-0.921603,-0.921603,0.000000,-4.131520,-6.620075,-0.245399,1
