timestamp,cmd_torque,target_position,position,velocity,estimated_torque,valid
14.742004,1.224839,0.000000,3.868818,3.908933,0.424390,1
14.743003,1.192319,0.000000,3.873036,4.055300,0.369396,1
14.744005,1.175488,0.000000,3.876871,4.083499,0.375103,1
14.745004,1.169033,0.000000,3.881473,4.266121,0.405194,1
14.746004,1.167236,0.000000,3.885308,4.201666,0.498062,1
14.747008,1.164419,0.000000,3.889527,4.280892,0.504807,1
14.748005,1.155265,0.000000,3.893746,4.463515,0.479904,1
14.749004,1.134902,0.000000,3.898348,4.455458,0.473678,1
14.750010,1.099089,0.000000,3.902950,4.483657,0.464858,1
14.751012,1.045021,0.000000,3.907552,4.501114,0.455519,1
14.752009,0.971215,0.000000,3.912154,4.562883,0.348125,1
14.753009,0.876547,0.000000,3.916756,4.644795,0.350719,1
14.754009,0.761896,0.000000,3.921358,4.706565,0.321146,1
14.755011,0.628965,0.000000,3.925960,4.826075,0.300394,1
14.756008,0.482028,0.000000,3.930946,4.666280,0.239174,1
14.757005,0.324617,0.000000,3.935548,4.886502,0.238655,1
14.758003,0.161699,0.000000,3.940917,4.977813,0.273415,1
14.759004,-0.001101,0.000000,3.945903,4.961699,0.369915,1
14.760004,-0.157283,0.000000,3.950505,4.873074,0.301950,1
14.761004,-0.300567,0.000000,3.955490,4.912015,0.287942,1
14.762003,-0.424679,0.000000,3.960476,4.946928,0.209082,1
14.763003,-0.524207,0.000000,3.965461,4.906644,0.203375,1
14.764005,-0.594209,0.000000,3.970447,4.961699,0.097018,1
14.765005,-0.630607,0.000000,3.975433,4.898587,0.041505,1
14.766012,-0.630625,0.000000,3.980418,4.971099,0.021271,1
14.767038,-0.591397,0.000000,3.985404,4.895901,-0.026978,1
14.768012,-0.517640,0.000000,3.990006,4.706565,0.003113,1
14.769009,-0.406772,0.000000,3.994991,4.869045,0.009339,1
14.770009,-0.262622,0.000000,3.999593,4.832789,0.069002,1
14.771013,-0.089038,0.000000,4.004579,4.713279,0.141118,1
14.772009,0.106259,0.000000,4.009181,4.677023,0.134892,1
14.773009,0.318736,0.000000,4.013783,4.656880,0.160833,1
14.774009,0.540514,0.000000,4.018385,4.639424,0.187292,1
14.775011,0.764127,0.000000,4.022987,4.632710,0.223609,1
14.776013,0.981053,0.000000,4.027589,4.662252,0.159795,1
14.777006,1.181401,0.000000,4.032575,4.646138,0.180548,1
14.778004,1.360951,0.000000,4.037177,4.762963,0.205451,1
14.779004,1.512009,0.000000,4.041779,4.682394,0.256294,1
14.780004,1.628450,0.000000,4.046765,4.764306,0.251106,1
14.781005,1.705621,0.000000,4.051367,4.862331,0.328410,1
14.782004,1.740188,0.000000,4.056352,4.860988,0.414014,1
14.783004,1.730477,0.000000,4.061338,4.933500,0.541124,1
14.784004,1.676175,0.000000,4.066324,4.972442,0.518296,1
14.785004,1.578583,0.000000,4.071309,4.980499,0.557207,1
14.786012,1.439169,0.000000,4.076678,5.259804,0.513108,1
14.787011,1.264322,0.000000,4.081664,5.275918,0.582629,1
14.788010,1.058436,0.000000,4.087033,5.394086,0.457595,1
14.789009,0.827282,0.000000,4.092402,5.365886,0.371471,1
14.790008,0.577665,0.000000,4.098155,5.437056,0.347087,1
14.791011,0.315946,0.000000,4.103524,5.466597,0.264077,1
14.792009,0.051301,0.000000,4.108893,5.471969,0.266152,1
14.793009,-0.211176,0.000000,4.114646,5.751274,0.269265,1
14.794009,-0.464236,0.000000,4.120398,5.598193,0.297281,1
14.795011,-0.702898,0.000000,4.126151,5.744560,0.244362,1
14.796013,-0.922081,0.000000,4.131520,5.622364,0.202857,1
14.797006,-1.116424,0.000000,4.137272,5.641163,0.167577,1
14.798004,-1.286840,0.000000,4.143025,5.692190,0.053957,1
14.799004,-1.431627,0.000000,4.148394,5.360515,-0.034761,1
14.800004,-1.550980,0.000000,4.153763,5.510910,-0.112583,1
14.801010,-1.647086,0.000000,4.159132,5.376629,-0.120884,1
14.802008,-1.721727,0.000000,4.164885,5.388714,-0.145268,1
14.803009,-1.779785,0.000000,4.169871,5.469283,-0.130741,1
14.804009,-1.825720,0.000000,4.174856,5.036897,-0.109989,1
14.805007,-1.864663,0.000000,4.180225,5.028840,-0.080935,1
14.806033,-1.903241,0.000000,4.185211,5.040925,-0.088717,1
14.807046,-1.945503,0.000000,4.190580,4.894559,-0.143193,1
14.808022,-1.995147,0.000000,4.195182,4.685080,-0.115177,1
14.809017,-2.059069,0.000000,4.199784,4.677023,-0.190405,1
14.810014,-2.140245,0.000000,4.204386,4.600482,-0.350200,1
14.811031,-2.243260,0.000000,4.208605,4.498428,-0.355907,1
14.812011,-2.363249,0.000000,4.213207,4.485000,-0.383923,1
14.813006,-2.505925,0.000000,4.217042,4.323862,-0.377178,1
14.814004,-2.669070,0.000000,4.221260,4.125126,-0.390149,1
14.815004,-2.849996,0.000000,4.225096,4.021729,-0.527116,1
14.816004,-3.044835,0.000000,4.229314,3.958617,-0.388592,1
14.817004,-3.248451,0.000000,4.232766,3.589343,-0.295724,1
14.818005,-3.455739,0.000000,4.235834,3.512803,-0.347606,1
14.819004,-3.659225,0.000000,4.239285,3.459090,-0.504288,1
14.820004,-3.853012,0.000000,4.242353,3.197241,-0.507401,1
14.821005,-4.029931,0.000000,4.245038,2.921964,-0.535417,1
14.822005,-4.182847,0.000000,4.247722,2.668172,-0.597674,1
14.823004,-4.305778,0.000000,4.250407,2.517777,-0.770959,1
14.824005,-4.393422,0.000000,4.252325,2.257271,-1.033479,1
14.825010,-4.441043,0.000000,4.253859,1.603320,-1.246193,1
14.826014,-4.444940,0.000000,4.255009,1.404584,-1.482253,1
14.827013,-4.403572,0.000000,4.255776,0.894314,-1.517014,1
14.828009,-4.316958,0.000000,4.256543,0.588153,-1.575121,1
14.829009,-4.185607,0.000000,4.256160,-0.260506,-1.361888,1
14.830009,-4.012273,0.000000,4.255393,-0.589496,-1.165777,1
